案件ID,顧客名,金額(円),ステージ,前週ステージ,確度(%),営業担当,更新日,次アクション
OPP-202636000,ミナト製作所,3600000,初回商談,提案,10,田中 健,2026-08-31,稟議待ち
OPP-202636001,アオイ物流,3600000,初回商談,最終交渉,10,田中 健,2026-09-03,見積再提出
OPP-202636002,サクラフーズ,7200000,初回商談,見積提示,10,田中 健,2026-09-04,見積再提出
OPP-202636003,トライアングル設計,7200000,提案,課題ヒアリング,40,伊藤 さくら,2026-09-04,見積再提出
OPP-202636004,ノースゲート商事,2400000,最終交渉,見積提示,80,田中 健,2026-09-01,―
OPP-202636005,ひかり調剤,7200000,見積提示,初回商談,60,佐藤 花子,2026-09-06,稟議待ち
OPP-202636006,東雲テクノロジー,3600000,初回商談,課題ヒアリング,10,田中 健,2026-08-31,次回打合せ設定
OPP-202636007,みらい教育出版,2400000,課題ヒアリング,提案,20,佐藤 花子,2026-09-05,次回打合せ設定
OPP-202636008,カワセミ電機,1200000,提案,初回商談,40,佐藤 花子,2026-09-05,稟議待ち
OPP-202636009,ハルカゼ運輸,12000000,失注,最終交渉,0,伊藤 さくら,2026-09-03,見積再提出
OPP-202636010,セイリング化成,12000000,課題ヒアリング,見積提示,20,山田 太郎,2026-09-02,見積再提出
OPP-202636011,オリオン印刷,3600000,提案,見積提示,40,田中 健,2026-08-31,見積再提出
OPP-202636012,ケヤキ総研,3600000,課題ヒアリング,提案,20,鈴木 一郎,2026-09-03,見積再提出
OPP-202636013,フジノ精機,12000000,提案,見積提示,40,伊藤 さくら,2026-09-03,見積再提出
OPP-202636014,シリウス人材,7200000,最終交渉,初回商談,80,田中 健,2026-08-31,セキュリティ質問票回答
OPP-202636015,ミナト製作所,1200000,提案,最終交渉,40,伊藤 さくら,2026-09-01,―
OPP-202636016,アオイ物流,12000000,最終交渉,提案,80,鈴木 一郎,2026-09-05,見積再提出
OPP-202636017,サクラフーズ,12000000,提案,課題ヒアリング,40,佐藤 花子,2026-09-06,―
OPP-202636900,ミナト製作所,4800000,受注,最終交渉,100,田中 健,2026-09-04,―
