顧客名,営業担当,明細,納期,備考
株式会社ミナト製作所,田中 健,P-002x2;P-102x10,2026-11-28,更新分。値引きなし
アオイ物流株式会社,伊藤 さくら,P-001x1;P-201x1,2026-12-05,新規。API連携ありき
サクラフーズ株式会社,田中 健,P-002x1;P-103x2,2026-11-20,研修2日分を含む
株式会社ノースゲート商事,佐藤 花子,P-003x1,2026-12-18,エンタープライズ更新
株式会社カワセミ電機,伊藤 さくら,P-002x1;P-202x1,2026-11-30,SSO追加
株式会社ケヤキ総研,山田 太郎,P-001x2,2026-12-11,
株式会社フジノ精機,佐藤 花子,P-003x1;P-101x1,2026-12-25,導入支援込み
存在しない株式会社,田中 健,P-002x1,2026-11-30,※わざと存在しない顧客を入れてある
株式会社ハルカゼ運輸,山田 太郎,P-999x1,2026-12-02,※わざと存在しない商品コードを入れてある
株式会社アカツキ食品,鈴木 一郎,P-102x25,2026-01-10,※わざと過去日の納期を入れてある
