チケットID,起票日時,顧客名,カテゴリ,優先度,件名,ステータス,初回応答時間(時間),解決までの時間(時間),担当
TCK-202636000,2026-09-01 16:44,九重ホールディングス,API連携,P1,API連携に関するお問い合わせ,対応中,9.4,,中村
TCK-202636001,2026-08-31 15:10,東雲テクノロジー,レポート表示,P1,レポート表示に関するお問い合わせ,顧客待ち,13.9,,小川
TCK-202636002,2026-09-05 10:28,東雲テクノロジー,請求,P1,請求に関するお問い合わせ,解決済,12.6,41.2,中村
TCK-202636003,2026-09-02 18:08,カワセミ電機,請求,P3,請求に関するお問い合わせ,対応中,10.7,,小川
TCK-202636004,2026-08-31 14:44,ミナト製作所,請求,P3,請求に関するお問い合わせ,解決済,10.6,28.1,鈴木
TCK-202636005,2026-09-06 08:38,サクラフーズ,レポート表示,P3,レポート表示に関するお問い合わせ,解決済,11.9,16.6,渡辺
TCK-202636006,2026-08-31 17:54,ゼニス金属,データ移行,P3,データ移行に関するお問い合わせ,解決済,8.8,10.0,渡辺
TCK-202636007,2026-09-04 13:00,ノースゲート商事,その他,P3,その他に関するお問い合わせ,対応中,8.5,,鈴木
TCK-202636008,2026-09-06 18:05,ブルーポート海運,データ移行,P3,データ移行に関するお問い合わせ,解決済,8.6,40.2,中村
TCK-202636009,2026-09-03 15:29,サクラフーズ,レポート表示,P2,レポート表示に関するお問い合わせ,顧客待ち,9.0,,渡辺
TCK-202636010,2026-09-02 10:50,ミナト製作所,モバイル,P2,モバイルに関するお問い合わせ,解決済,10.5,39.7,渡辺
TCK-202636011,2026-09-05 13:55,アオイ物流,請求,P3,請求に関するお問い合わせ,解決済,13.0,19.4,鈴木
TCK-202636012,2026-09-01 16:00,九重ホールディングス,API連携,P3,API連携に関するお問い合わせ,対応中,9.2,,渡辺
TCK-202636013,2026-09-03 11:22,九重ホールディングス,モバイル,P3,モバイルに関するお問い合わせ,顧客待ち,7.8,,中村
TCK-202636014,2026-09-05 16:37,ノースゲート商事,ログイン/SSO,P2,ログイン/SSOに関するお問い合わせ,解決済,8.0,9.5,中村
TCK-202636015,2026-09-06 08:35,ブルーポート海運,レポート表示,P2,レポート表示に関するお問い合わせ,解決済,11.5,42.5,渡辺
TCK-202636016,2026-08-31 15:53,サクラフーズ,モバイル,P3,モバイルに関するお問い合わせ,解決済,10.8,31.7,小川
TCK-202636017,2026-08-31 14:19,ゼニス金属,その他,P3,その他に関するお問い合わせ,顧客待ち,8.6,,渡辺
TCK-202636018,2026-09-03 13:02,フジノ精機,データ移行,P2,データ移行に関するお問い合わせ,対応中,11.2,,渡辺
TCK-202636019,2026-08-31 13:57,ノースゲート商事,データ移行,P2,データ移行に関するお問い合わせ,解決済,13.0,22.9,小川
TCK-202636020,2026-09-05 15:41,カワセミ電機,その他,P2,その他に関するお問い合わせ,解決済,11.0,21.7,鈴木
TCK-202636021,2026-09-06 17:46,九重ホールディングス,データ移行,P3,データ移行に関するお問い合わせ,顧客待ち,9.9,,小川
TCK-202636022,2026-09-06 10:09,カワセミ電機,レポート表示,P3,レポート表示に関するお問い合わせ,顧客待ち,9.7,,中村
TCK-202636023,2026-09-02 18:34,アオイ物流,請求,P2,請求に関するお問い合わせ,解決済,7.7,37.6,渡辺
TCK-202636024,2026-09-02 19:20,ゼニス金属,データ移行,P2,データ移行に関するお問い合わせ,解決済,10.7,36.0,鈴木
TCK-202636025,2026-09-03 11:33,ミナト製作所,その他,P3,その他に関するお問い合わせ,解決済,9.5,11.4,渡辺
TCK-202636026,2026-09-04 19:19,カワセミ電機,モバイル,P3,モバイルに関するお問い合わせ,顧客待ち,7.9,,小川
TCK-202636027,2026-09-01 12:12,アオイ物流,データ移行,P3,データ移行に関するお問い合わせ,顧客待ち,11.7,,中村
TCK-202636028,2026-09-05 15:18,ゼニス金属,ログイン/SSO,P3,ログイン/SSOに関するお問い合わせ,解決済,11.1,19.8,鈴木
TCK-202636029,2026-09-06 19:28,ゼニス金属,請求,P3,請求に関するお問い合わせ,顧客待ち,11.7,,鈴木
TCK-202636030,2026-09-02 16:55,ミナト製作所,データ移行,P3,データ移行に関するお問い合わせ,顧客待ち,8.4,,中村
TCK-202636031,2026-09-03 14:59,フジノ精機,請求,P3,請求に関するお問い合わせ,顧客待ち,9.7,,小川
TCK-202636032,2026-09-01 19:46,ゼニス金属,モバイル,P3,モバイルに関するお問い合わせ,対応中,11.8,,小川
TCK-202636033,2026-08-31 08:25,東雲テクノロジー,モバイル,P3,モバイルに関するお問い合わせ,顧客待ち,7.5,,中村
TCK-202636034,2026-08-31 08:06,ブルーポート海運,レポート表示,P2,レポート表示に関するお問い合わせ,対応中,10.8,,小川
TCK-202636035,2026-08-31 18:08,サクラフーズ,モバイル,P2,モバイルに関するお問い合わせ,顧客待ち,14.7,,小川
TCK-202636036,2026-09-01 17:41,ノースゲート商事,その他,P3,その他に関するお問い合わせ,解決済,13.2,34.1,小川
TCK-202636037,2026-09-04 15:11,ゼニス金属,請求,P3,請求に関するお問い合わせ,対応中,9.3,,鈴木
TCK-202636038,2026-08-31 12:41,九重ホールディングス,ログイン/SSO,P3,ログイン/SSOに関するお問い合わせ,対応中,9.3,,中村
TCK-202636039,2026-09-01 08:58,アオイ物流,ログイン/SSO,P2,ログイン/SSOに関するお問い合わせ,顧客待ち,4.8,,中村
TCK-202636040,2026-09-06 17:09,ミナト製作所,API連携,P3,API連携に関するお問い合わせ,顧客待ち,11.0,,小川
